Habitat,Group,Order,Family,Species,SLA.Alien,SLA.Native,Hmax.Alien,Hmax.Native,SWT.Alien,SWT.Native,Ref
Tropical dry forest,Monocotyledons,Arecales,Arecaceae,Iriartea deltoidea,,,,25,,3900,864; 884
Tropical dry forest,Dicotyledons,Magnoliales,Myristicaceae,Iryanthera juruensis,,,,25.99,,4000,864; 884
Tropical dry forest,Dicotyledons,Magnoliales,Myristicaceae,Iryanthera lancifolia,,,,25,,,864
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Isertia rosea,,,,13,,,864
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Ixora alba,,119.5,,,,,437; 883
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Ixora coccinea,,98.5,,,,,437; 883
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Ixora killipii,,,,7,,,864
Tropical dry forest,Dicotyledons,Lamiales,Bignoniaceae,Jacaranda copaia,,99.7,,38.97,,5,864; 884
Tropical dry forest,Dicotyledons,Lamiales,Bignoniaceae,Jacaranda glabra,,,,8,,,864
Tropical dry forest,Dicotyledons,Brassicales,Caricaceae,Jacaratia digitata,,,,31.24,,40,864; 884
Tropical dry forest,Dicotyledons,Brassicales,Caricaceae,Jacaratia spinosa,,418,,22,,,641; 642
Tropical dry forest,Dicotyledons,Lamiales,Bignoniaceae,Kigelia pinnata,,91.6,,,,,437; 883
Tropical dry forest,Dicotyledons,Magnoliales,Annonaceae,Klarobelia napoensis,,,,40,,,864
Tropical dry forest,Dicotyledons,Malpighiales,Lacistemataceae,Lacistema aggregatum,,692.8,,15.37,,35.2,864; 884
Tropical dry forest,Dicotyledons,Malpighiales,Lacistemataceae,Lacistema nena,,,,25,,,864
Tropical dry forest,Dicotyledons,Gentianales,Apocynaceae,Lacmellea floribunda,,,,15,,,864
Tropical dry forest,Dicotyledons,Gentianales,Apocynaceae,Lacmellea lactescens,,,,18,,,864
Tropical dry forest,Dicotyledons,Malpighiales,Ochnaceae,Lacunaria crenata,,,,16,,,864
Tropical dry forest,Dicotyledons,Malpighiales,Salicaceae,Laetia procera,,159.5,,34.31,,4.1,300
Tropical dry forest,Dicotyledons,Myrtales,Lythraceae,Lafoensia acuminata,,,,30,,,864
Tropical dry forest,Dicotyledons,Myrtales,Lythraceae,Lagerstroemia parviflora,,78.5,,3.4,,36.95,883; 884
Tropical dry forest,Dicotyledons,Myrtales,Lythraceae,Lagerstroemia speciosa,114.4,,,,5.6,,437; 883; 884
Tropical dry forest,Dicotyledons,Sapindales,Anacardiaceae,Lannea coromandelica,,123.9,,,,132,883; 884
Tropical dry forest,Dicotyledons,Myrtales,Melastomataceae,Leandra rufescens,,,,10,,0.8,300
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Lecointea peruviana,,,,8,,,864
Tropical dry forest,Dicotyledons,Ericales,Lecythidaceae,Lecythis confertiflora,,,,40,,2020,300
Tropical dry forest,Dicotyledons,Ericales,Lecythidaceae,Lecythis zabucajo,,,,46.9,,2186.591,300
Tropical dry forest,Dicotyledons,Malpighiales,Violaceae,Leonia crassa,,,,20,,,864
Tropical dry forest,Dicotyledons,Malpighiales,Violaceae,Leonia glycycarpa,,,,35,,717,864; 884
Tropical dry forest,Dicotyledons,Malpighiales,Chrysobalanaceae,Licania alba,,,,29.24,,8389.196,300
Tropical dry forest,Dicotyledons,Malpighiales,Chrysobalanaceae,Licania arborea,,,,20,,,864
