obs,spcode,name,date,rep,subrep,subpicture,type,nb.leaves,nb.leaves.num,photo#,date measured,total area,leaf area,dry mass,SLA,comment
71,HELBEL,Anaphalioides bellidioides,4-Dec,3,b,,leaves,33        ,33.0000,393,8-Dec,2119.253,64.22,20.5,103.3781951,
72,HELBEL,Anaphalioides bellidioides,4-Dec,4,,,leaves,30        ,30.0000,398,8-Dec,,,,,
73,HELBEL,Anaphalioides bellidioides,4-Dec,5,,,leaves,8        ,8.0000,395,8-Dec,,,,,
74,CARAUS,Carmichaelia australis,5-Dec,1,a,,leaves,5        ,5.0000,481,10-Dec,,,,,keep only stems or leaves?
74,CARAUS,Carmichaelia australis,5-Dec,1,b,,stems,NA,NA,483,10-Dec,,,,,
75,CARAUS,Carmichaelia australis,5-Dec,2,a,,leaves,5        ,5.0000,484,10-Dec,,,,,
75,CARAUS,Carmichaelia australis,5-Dec,2,b,,stems,NA,NA,486,10-Dec,,,,,
76,CARAUS,Carmichaelia australis,5-Dec,3,,,stems,NA,NA,487,10-Dec,,,,,
77,ACISUB,Aciphylla subflabellata,5-Dec,1,,,leaves,6        ,6.0000,491,10-Dec,,,,,
78,ACISUB,Aciphylla subflabellata,5-Dec,2,,,leaves,5        ,5.0000,492,10-Dec,,,,,
79,ACISUB,Aciphylla subflabellata,5-Dec,3,,,leaves,6        ,6.0000,494,10-Dec,,,,,
80,ACISUB,Aciphylla subflabellata,5-Dec,4,,,leaves,3        ,3.0000,495,10-Dec,,,,,
81,ACISUB,Aciphylla subflabellata,5-Dec,5,,,leaves,5        ,5.0000,497,10-Dec,,,,,
84,ASPFLB,Asplenium flabellifolium,5-Dec,1,,1,leaflet,1        ,1.0000,403,8-Dec,,,,,
84,ASPFLB,Asplenium flabellifolium,5-Dec,1,,2,stems,1        ,1.0000,405,8-Dec,,,,,
85,ASPFLB,Asplenium flabellifolium,5-Dec,2,,1,leaflet,1        ,1.0000,406,8-Dec,,,,,
85,ASPFLB,Asplenium flabellifolium,5-Dec,2,,2,stems,1        ,1.0000,408,8-Dec,,,,,
86,ASPFLB,Asplenium flabellifolium,5-Dec,3,,1,leaflet,1        ,1.0000,409,8-Dec,,,,,
86,ASPFLB,Asplenium flabellifolium,5-Dec,3,,2,stems,1        ,1.0000,411,8-Dec,,,,,
87,ASPFLB,Asplenium flabellifolium,5-Dec,4,,1,leaflet,1        ,1.0000,412,8-Dec,,,,,
87,ASPFLB,Asplenium flabellifolium,5-Dec,4,,2,stems,1        ,1.0000,413,8-Dec,,,,,
88,ASPFLB,Asplenium flabellifolium,5-Dec,5,,1,leaflet,   1/2  ,0.5000,415,8-Dec,,,,,
88,ASPFLB,Asplenium flabellifolium,5-Dec,5,,2,stems,   1/2  ,0.5000,416,8-Dec,,,,,
89,GALPRO,Galium propinquum,5-Dec,1,,,leaves,92        ,92.0000,400,8-Dec,,,,,
90,GALPRO,Galium propinquum,5-Dec,2,,,rotten,NA,NA,NA,,,,,,
91,GALPRO,Galium propinquum,5-Dec,3,,,leaves,91        ,91.0000,402,8-Dec,,,,,
92,ASPHOO,Asplenium hookerianum,5-Dec,1,a,,leaves (round),1        ,1.0000,425,8-Dec,,,,,
92,ASPHOO,Asplenium hookerianum,5-Dec,1,b,,leaves (elongated),1        ,1.0000,427,8-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a1,1,leaves,   1/41 ,0.0244,509,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a1,2,leaves,   1/41 ,0.0244,510,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a1,3,leaves,   1/41 ,0.0244,511,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a2,1,leaves,   1/41 ,0.0244,512,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a2,2,leaves,   1/41 ,0.0244,513,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a2,3,leaves,   1/41 ,0.0244,514,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a2,4,leaves,   1/41 ,0.0244,515,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a3,1,leaves,   1/41 ,0.0244,516,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a3,2,leaves,   1/41 ,0.0244,517,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a3,3,leaves,   1/41 ,0.0244,519,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a3,4,leaves,   1/41 ,0.0244,521,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a4,1,leaves,   1/41 ,0.0244,523,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a4,2,leaves,   1/41 ,0.0244,524,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a4,3,leaves,   1/41 ,0.0244,525,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a4,4,leaves,   1/41 ,0.0244,527,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a5,1,leaves,   1/41 ,0.0244,528,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a5,2,leaves,   1/41 ,0.0244,529,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a5,3,leaves,   1/41 ,0.0244,532,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a5,4,leaves,   1/41 ,0.0244,534,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a5,5,leaves,   1/41 ,0.0244,535,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a5,6,leaves,   1/41 ,0.0244,537,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,a6,,stems,   1/41 ,0.0244,539,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b1,1,leaves,   1/41 ,0.0244,541,10-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b1,2,leaves,   1/41 ,0.0244,542,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b1,3,leaves,   1/41 ,0.0244,544,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b1,4,leaves,   1/41 ,0.0244,545,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b1,5,leaves,   1/41 ,0.0244,546,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b2,1,leaves,   1/41 ,0.0244,548,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b2,2,leaves,   1/41 ,0.0244,549,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b2,3,leaves,   1/41 ,0.0244,553,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b2,4,leaves,   1/41 ,0.0244,554,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b2,5,leaves,   1/41 ,0.0244,557,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,,1,leaves,   1/41 ,0.0244,559,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b3,2,leaves,   1/41 ,0.0244,561,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b3,3,leaves,   1/41 ,0.0244,564,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b3,4,leaves,   1/41 ,0.0244,565,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b3,5,leaves,   1/41 ,0.0244,567,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b3,6,leaves,   1/41 ,0.0244,568,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b3,7,leaves,   1/41 ,0.0244,569,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b3,8,leaves,   1/41 ,0.0244,571,12-Dec,,,,,
93,PTEESC,Pteridium esculentum,5-Dec,1,b4,1,stems,   1/41 ,0.0244,574,12-Dec,,,,,
94,LEPMIN,Leptinella minor,5-Dec,1,,,leaves,5        ,5.0000,474,10-Dec,,,,,
95,LEPMIN,Leptinella minor,5-Dec,2,,,leaves,4        ,4.0000,472,10-Dec,,,,,
96,LEPMIN,Leptinella minor,5-Dec,3,,,leaves,4        ,4.0000,476,10-Dec,,,,,
97,LEPMIN,Leptinella minor,5-Dec,4,,,leaves,7        ,7.0000,477,10-Dec,,,,,
98,LEPMIN,Leptinella minor,5-Dec,5,,,leaves,9        ,9.0000,479,10-Dec,,,,,
100,ASPHOO,Asplenium hookerianum,9-Dec,1,a,,leaves (elongated),1        ,1.0000,447,10-Dec,,,,,
100,ASPHOO,Asplenium hookerianum,9-Dec,1,b,,leaves (round),1        ,1.0000,449,10-Dec,,,,,
101,ASPHOO,Asplenium hookerianum,9-Dec,2,,,leaves (round),3        ,3.0000,450,10-Dec,,,,,
102,ASPHOO,Asplenium hookerianum,9-Dec,3,,,leaves (round),1        ,1.0000,451,10-Dec,,,,,
103,ASPHOO,Asplenium hookerianum,9-Dec,4,,,leaves (round),2        ,2.0000,588,12-Dec,,,,,
113,ASPFLB,Asplenium flabellifolium,9-Dec,6,,,leaves,1        ,1.0000,453,10-Dec,,,,,
119,JUNEDG,Juncus edgariae,9-Dec,1,,1,leaves,   1/2  ,0.5000,462,10-Dec,,,,,
119,JUNEDG,Juncus edgariae,9-Dec,1,,2,leaves,   1/2  ,0.5000,463,10-Dec,,,,,
120,JUNEDG,Juncus edgariae,9-Dec,2,,,leaves,1        ,1.0000,465,10-Dec,,,,,
121,JUNEDG,Juncus edgariae,9-Dec,3,,,leaves,1        ,1.0000,466,10-Dec,,,,,
122,JUNEDG,Juncus edgariae,9-Dec,4,,,leaves,1        ,1.0000,467,10-Dec,,,,,
123,JUNEDG,Juncus edgariae,9-Dec,5,,,leaves,1        ,1.0000,469,10-Dec,,,,,
124,ACAANS,Acaena anserinifolia,4-Dec,1,,,leaves,2        ,2.0000,417,8-Dec,,,,,
125,COPPAR,Coprosma dumosa,9-Dec,1,,,leaves,25        ,25.0000,454,10-Dec,,,,,
126,COPPAR,Coprosma dumosa,9-Dec,2,,,leaves,30        ,30.0000,457,10-Dec,,,,,
