"","nobs","df","resid.dev","dev.ratio","abun.meanc","abun.minP","nobs","df","resid.dev","null.dev","dev.ratio","aic.null","aic.DEM_10","aic.SLOPE","aic.Northern","aic.SRali","aic.abun","dev.DEM_10","dev.SLOPE","dev.Northern","dev.SRali","dev.abun","DEM10.c","DEM10.P","SLOPE.c","SLOPE.P","Northness.c","Northness.P","SRali.c","SRali.P","abun.meanc"
"FESNOV",60,54,161.397271233574,0.114091149258435,0.204069661467162,0.000138014764353892,60,50,101.111181342018,182.182705476386,0.445001208662344,444.888345980337,386.962708906312,376.753146834128,375.436964818751,377.31853283432,381.81682184597,59.9256370740253,12.2095620721844,3.31618201537664,0.118431984431311,5.50171098834973,0.0016404779922515,1.84612928716715e-06,0.0147671940838275,0.000545575489906846,-0.119122081200904,0.0598856929576425,-0.00787549775199495,0.444344988781554,1.03573687896291
"GERMIC",49,45,125.894419338752,0.0842992473195519,0.189825405121528,0.00103035634582014,49,41,69.3176287778527,137.484237039484,0.495813990967229,360.736228692281,307.419293789786,301.047147668536,302.669879938613,303.698291647467,306.56962043065,55.3169349024951,8.37214612125031,0.377267729922323,0.971588291146801,3.12867121681636,0.00108117242531905,4.22536489989366e-05,0.00713126047101361,0.00307241703331132,0.0741022663597496,0.322631846758628,-0.00673780604800753,0.491778702875914,1.05492112318753
"GERMOL",132,127,416.40355973728,0.0651062134691658,-0.0980037197164485,1.69836282455727e-05,132,123,374.737958509257,445.40199724982,0.158652271828338,879.328489257681,881.261702291917,855.938970688909,847.354320826134,830.034033534214,824.664450517118,0.0667869657638107,27.3227316030077,10.5846498627752,19.3202872919206,13.369583017096,-8.713163904988e-05,0.769215857370716,0.0159070766754695,1.71091647600041e-05,-0.165812517113954,0.0101798575680555,0.0313197460500435,0.000335311728506432,0.872612034355952
"GNAAUD",83,79,221.640334230509,0.00295461167254901,-0.0931405250861458,0.547491826475553,83,75,152.474607766588,222.297135943141,0.314095491515521,552.079459388494,527.990870317926,524.898002922975,503.992878835694,491.802602632019,496.256931211941,26.0885890705687,5.09286739495084,22.9051240872807,14.1902762036748,1.54567142007829,0.00140744291425195,8.93100253226048e-09,0.0125848641590703,0.00307800721518425,-0.314972277374776,5.00435584235667e-07,0.034881217184748,0.000166759136712418,0.961286239241828
"HELFIL",125,120,357.706854921808,0.0985178298015247,0.293341592201796,8.17077239090057e-08,125,116,246.897137090908,396.798590972746,0.377777182913771,920.14931221186,832.407375812472,802.986415519038,799.683450898801,798.751238414581,786.247858330023,89.7419363993882,31.4209602934345,5.30296462023705,2.93221248421952,20.5033800845584,0.00123421004138176,4.38585755593443e-11,0.0118455142322926,4.65216693342911e-09,-0.0718616418364831,0.118806916053651,-0.00890954463215473,0.284262588499052,1.16438773673415
"HOLLAN",502,496,2421.74399473485,0.0165728770915954,-0.26805841103029,4.68466578191098e-09,502,492,1774.59657292811,2462.55562646344,0.279367924176938,4010.96328121568,3658.29255613563,3468.6580647841,3395.43644402366,3374.274902834,3341.00422768035,354.670725080045,191.634491351536,75.2216207604354,23.1615411896648,43.2706751536509,0.00192904993798941,1.28941012945191e-70,0.0177256688609561,1.81326655467478e-31,-0.280614222153554,4.52455424167192e-22,0.0210344540942374,1.32274011579619e-06,0.71535280886075
"HYDMON",93,88,299.709799511464,0.0984260015027027,-0.121741910778845,2.52547926045923e-07,93,84,165.185274191693,332.429506630633,0.503096834375679,723.473762306456,628.234571477566,596.34216479188,584.504683911976,581.532570366929,572.229529867516,97.2391908288904,33.8924066856858,13.8374808799036,4.97211354504768,17.3030404994128,0.00140033446158304,3.87126510297606e-10,0.0127023844232592,1.56420618673728e-08,-0.0768218773953603,0.186151281587866,-0.0187710069872985,0.0394427375807054,1.02915709063176
"HYDMOS",46,42,108.833669864705,0.153765251572687,0.527353253862218,0.000594451033379935,46,38,94.170003311604,128.609313275031,0.267782395274736,307.455516129908,304.54475058627,303.791095026872,301.228554436586,290.590586311209,287.016206166482,4.91076554363855,2.75365555939759,4.56254059028656,12.6379681253767,9.57438014472723,0.00134957912952436,0.00102291238943717,0.00629779582671739,0.232867334595742,-0.154643158239627,0.143680994258149,0.0371938480519341,0.00946116230522278,1.46785878700657
"HYPGLA",47,43,72.5001076494005,0.0294775913975051,-0.213372745254588,0.239639319577661,47,39,57.8681602226826,74.702147015644,0.225348098622065,251.474144292212,249.101119572488,246.568991221844,248.292094964803,245.320055004528,248.640157499251,4.37302471972352,4.53212835064434,0.276896257040704,4.97203996027507,2.67989750527774,0.000719047707129979,0.0286398971693558,0.00891336695192282,0.0420568251032892,0.00321846632329882,0.974118217634151,0.0260530393321043,0.0556190182224365,0.75003163315822
"HYPRAD",542,537,2486.41945997906,0.0571047910731961,0.474810978521385,2.85192693791448e-27,542,533,1839.58614072888,2637.00508438163,0.302395679240696,4308.92032856903,3876.1980746981,3673.69042237298,3591.94727113003,3580.34458445438,3527.50138491628,434.722253870931,204.507652325119,83.7431512429473,13.6026866756565,60.8431995380975,0.00165514221804558,4.76229833609667e-60,0.0213982375656016,1.70562805163229e-45,-0.245057726123359,1.13917524150402e-18,0.0162727109099678,9.63742368414884e-05,1.22568369889857
